Date,Time,Action,Description,Location,Agency,Service Type,Product,Amount,Balance
Jun-07-2024,10:52 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Jun-07-2024,10:34 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Jun-06-2024,10:12 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Jun-06-2024,09:48 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Jun-05-2024,10:54 AM,Usage,Pass Use On Exit,Stadium TC on 111 Avenue Bay F,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
Jun-05-2024,10:49 AM,Usage,Pass Use On Entry,97 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
Jun-05-2024,09:35 AM,Usage,Pass Use On Exit,99 Street & Jasper Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
Jun-05-2024,09:30 AM,Usage,Pass Use On Entry,84 Street & 110 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
Jun-04-2024,07:49 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Jun-04-2024,07:32 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Jun-04-2024,05:00 PM,Usage,Pass Use On Exit,114 Street & 89 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
Jun-04-2024,04:49 PM,Usage,Pass Use On Entry,Castle Downs Transit Centre Bay F,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
Jun-04-2024,03:00 PM,Usage,Pass Use On Exit,Groat Road & 107 Avenue,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
Jun-04-2024,02:35 PM,Usage,Pass Use On Entry,University Transit Centre Bay B,Edmonton Transit Service,ETS Local,U-Pass UofA Spring/Summer,,
Jun-04-2024,09:51 AM,Usage,Pass Use On Exit,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Jun-04-2024,09:34 AM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Jun-03-2024,08:23 PM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Jun-03-2024,07:56 PM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Jun-03-2024,04:49 PM,Usage,Pass Use On Exit,Health Sciences Jubilee Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Jun-03-2024,04:34 PM,Usage,Pass Use On Entry,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Jun-03-2024,11:41 AM,Usage,Pass Use On Exit,Stadium Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
Jun-03-2024,11:25 AM,Usage,Pass Use On Entry,University Station,Edmonton Transit Service,ETS LRT,U-Pass UofA Spring/Summer,,
